OPEID,INSTNM,CITY,STABBR,ZIP,INSTURL,REGION,LOCALE,ADM_RATE,COSTT4_A
00553100,Grand River Technical School,Chillicothe,MO,64601,www.grts.org/,4,33.0,0.9818,
02090700,Cleveland University-Kansas City,Overland Park,KS,66210,www.cleveland.edu/,4,12.0,1.0,39183.0
00245600,Columbia College,Columbia,MO,65216,https://www.ccis.edu/,4,12.0,,37699.0
00246700,Conception Seminary College,Conception,MO,64433-0502,www.conception.edu/,4,42.0,1.0,38960.0
00245700,Concordia Seminary,Saint Louis,MO,63105-3196,https://www.csl.edu/,4,21.0,,
00245800,Cottey College,Nevada,MO,64772,https://www.cottey.edu/,4,33.0,0.6054,33941.0
00470700,Covenant Theological Seminary,Saint Louis,MO,63141-8609,www.covenantseminary.edu/,4,21.0,,
00245900,Crowder College,Neosho,MO,64850,www.crowder.edu/,4,32.0,,10938.0
00246000,Culver-Stockton College,Canton,MO,63435-1299,https://www.culver.edu/,4,43.0,0.9254,41119.0
00246100,Drury University,Springfield,MO,65802-3791,www.drury.edu/,4,12.0,0.6542,42802.0
00886200,East Central College,Union,MO,63084,www.eastcentral.edu/,4,41.0,,12257.0
00246200,Eden Theological Seminary,Webster Groves,MO,63119-3192,www.eden.edu/,4,21.0,,
01040500,Pinnacle Career Institute,Kansas City,MO,64153-1151,pcitraining.edu/,4,11.0,,
00246300,Evangel University,Springfield,MO,65802-2125,www.evangel.edu/,4,12.0,0.6364,37907.0
00246400,Fontbonne University,Saint Louis,MO,63105-3098,https://www.fontbonne.edu/,4,21.0,0.7811,42135.0
02056100,Four Rivers Career Center,Washington,MO,63090-4235,frcc.washington.k12.mo.us/,4,32.0,,28282.0
03083000,Ozarks Technical Community College,Springfield,MO,65802,www.otc.edu/,4,12.0,,12404.0
00908900,Hannibal-LaGrange University,Hannibal,MO,63401,www.hlg.edu/,4,33.0,0.6505,36584.0
00246600,Harris-Stowe State University,Saint Louis,MO,63103-2136,https://www.hssu.edu/,4,11.0,,18565.0
00960700,House of Heavilin Beauty College-Kansas City,Kansas City,MO,64110-2826,kc-hair.com/,4,11.0,,
00959000,Summit Salon Academy Kansas City,Independence,MO,64055,www.summitsalonacademykc.com/,4,21.0,,
00246800,Jefferson College,Hillsboro,MO,63050-2440,www.jeffco.edu/,4,41.0,,13583.0
03077200,Paul Mitchell the School-Missouri Columbia,Columbia,MO,65203,missouricolumbia.paulmitchell.edu/,4,12.0,,
00638900,Barnes-Jewish College Goldfarb School of Nursing,Saint Louis,MO,63110,www.barnesjewishcollege.edu/,4,11.0,,
00247300,Kansas City Art Institute,Kansas City,MO,64111-1874,www.kcai.edu/,4,11.0,0.5998,53484.0
00247600,Kenrick Glennon Seminary,Saint Louis,MO,63119-4399,www.kenrick.edu/,4,21.0,,
00247700,A T Still University of Health Sciences,Kirksville,MO,63501,www.atsu.edu/,4,33.0,,
02263400,Lake Career and Technical Center,Camdenton,MO,65020,https://lctc.camdentonschools.org/,4,41.0,,7025.0
02142200,Lex La-Ray Technical Center,Lexington,MO,64067-1525,www.lexlaray.com/,4,32.0,0.381,
00247900,Lincoln University,Jefferson City,MO,65101,https://www.lincolnu.edu/,4,13.0,,20912.0
00248000,Lindenwood University,Saint Charles,MO,63301-1695,https://www.lindenwood.edu/,4,13.0,0.7484,31101.0
00471100,State Technical College of Missouri,Linn,MO,65051-9607,https://www.statetechmo.edu/,4,42.0,,16273.0
00470300,Logan University,Chesterfield,MO,63017,https://www.logan.edu/,4,21.0,0.6552,21749.0
00248400,Metropolitan Community College-Kansas City,Kansas City,MO,64111-2429,www.mcckc.edu/,4,11.0,,12764.0
00666600,Lutheran School of Nursing,Saint Louis,MO,63118-3909,www.nursingschoollmc.com/,4,11.0,,
00248200,Maryville University of Saint Louis,Saint Louis,MO,63141-7299,https://www.maryville.edu/,4,21.0,0.9154,43856.0
02520800,Missouri College of Cosmetology and Esthetics,Jefferson City,MO,65109,merrelluniversity.edu/,4,13.0,,
02121100,Midwest Institute,Fenton,MO,63026,midwestinstitute.com/,4,21.0,0.7639,
00248500,Midwestern Baptist Theological Seminary,Kansas City,MO,64118-4697,https://www.mbts.edu/,4,11.0,0.9764,24102.0
00248600,Mineral Area College,Park Hills,MO,63601-1000,https://mineralarea.edu/,4,32.0,,15293.0
00754000,Missouri Baptist University,Saint Louis,MO,63141-8698,www.mobap.edu/,4,21.0,0.618,41811.0
00248800,Missouri Southern State University,Joplin,MO,64801-1595,www.mssu.edu/,4,13.0,0.9687,16181.0
00248900,Missouri Valley College,Marshall,MO,65340,https://www.moval.edu/,4,33.0,0.6588,35117.0
00249000,Missouri Western State University,Saint Joseph,MO,64507,https://www.missouriwestern.edu/,4,13.0,,20013.0
00251600,University of Missouri-Columbia,Columbia,MO,65211,https://missouri.edu/,4,12.0,0.7655,27518.0
00251800,University of Missouri-Kansas City,Kansas City,MO,64110,https://www.umkc.edu/,4,11.0,0.7598,22643.0
00251700,Missouri University of Science and Technology,Rolla,MO,65409,https://www.mst.edu/,4,33.0,0.854,23352.0
00251900,University of Missouri-St Louis,Saint Louis,MO,63121-4400,https://www.umsl.edu/,4,21.0,0.5661,24972.0
00249100,Moberly Area Community College,Moberly,MO,65270-1304,www.macc.edu/,4,32.0,,12417.0
00249400,Nazarene Theological Seminary,Kansas City,MO,64131-1246,www.nts.edu/,4,11.0,,
02608000,Neosho Beauty College,Neosho,MO,64850-1525,neoshobeautycollege.com/,4,32.0,,
00249500,Truman State University,Kirksville,MO,63501-4221,https://www.truman.edu/,4,33.0,0.6099,21858.0
00249600,Northwest Missouri State University,Maryville,MO,64468-6001,https://www.nwmissouri.edu/,4,33.0,0.8558,20745.0
02202700,Ozark Christian College,Joplin,MO,64801,www.occ.edu/,4,13.0,0.9805,23537.0
00250000,College of the Ozarks,Point Lookout,MO,65726-0017,www.cofo.edu/,4,32.0,0.2051,31428.0
00249800,Park University,Parkville,MO,64152-3795,www.park.edu/,4,21.0,,22766.0
00855200,Stevens-The Institute of Business & Arts,Saint Louis,MO,63103,www.siba.edu/,4,11.0,,23883.0
00543000,Poplar Bluff Technical Career Center,Poplar Bluff,MO,63901-8960,www.poplarbluffschools.net/,4,33.0,,
01250000,Ranken Technical College,Saint Louis,MO,63113-2811,www.ranken.edu/,4,11.0,,23047.0
00639200,Research College of Nursing,Kansas City,MO,64132,researchcollege.edu/,4,11.0,,
00249900,Rockhurst University,Kansas City,MO,64110-2561,https://www.rockhurst.edu/,4,11.0,0.6666,53456.0
00542900,Rolla Technical Institute/Center,Rolla,MO,65401,https://rtirtc.rolla31.org/,4,33.0,0.75,
00250600,Saint Louis University,Saint Louis,MO,63103-2097,www.slu.edu/,4,11.0,0.7005,63757.0
02214500,Salem College of Hairstyling,Rolla,MO,65401,www.centralandsalemcolleges.com/,4,33.0,,
02309100,American College of Hair Design Inc,Sedalia,MO,65301,www.americancollegeofhairdesign.com/,4,33.0,,
01258000,Saint Louis Christian College,Florissant,MO,63033,www.stlchristian.edu/,4,21.0,0.2778,23078.0
00250400,University of Health Sciences and Pharmacy in St. Louis,Saint Louis,MO,63110-1088,www.uhsp.edu/,4,11.0,0.9108,49252.0
00247100,Saint Louis Community College,Bridgeton,MO,63044,https://www.stlcc.edu/,4,21.0,,12296.0
00250900,Saint Paul School of Theology,Leawood,KS,66224,www.spst.edu/,4,21.0,,
00250200,Southwest Baptist University,Bolivar,MO,65613-2596,www.sbuniv.edu/,4,32.0,0.9621,36077.0
03106000,Missouri State University-West Plains,West Plains,MO,65775-2715,wp.missouristate.edu/,4,33.0,,14166.0
02340510,St Louis College of Health Careers-St Louis,Saint Louis,MO,63110,www.slchc.edu/,4,11.0,,
00808000,State Fair Community College,Sedalia,MO,65301-2199,https://www.sfccmo.edu/,4,33.0,,12392.0
00251200,Stephens College,Columbia,MO,65215,https://www.stephens.edu/,4,12.0,0.6366,37566.0
00250100,Southeast Missouri State University,Cape Girardeau,MO,63701,www.semo.edu/,4,13.0,0.793,21219.0
00250300,Missouri State University-Springfield,Springfield,MO,65897,www.missouristate.edu/,4,12.0,0.9385,22720.0
00471300,Three Rivers College,Poplar Bluff,MO,63901,https://trcc.edu/,4,33.0,,16621.0
00251400,North Central Missouri College,Trenton,MO,64683,www.ncmissouri.edu/,4,33.0,,15809.0
00247400,Kansas City University,Kansas City,MO,64106-1453,www.kansascity.edu/,4,11.0,,
00252000,Washington University in St Louis,Saint Louis,MO,63130-4899,https://wustl.edu/,4,21.0,0.13,79586.0
00252100,Webster University,Saint Louis,MO,63119-3194,www.webster.edu/,4,21.0,0.5945,44508.0
00252300,Westminster College,Fulton,MO,65251-1299,www.wcmo.edu/,4,32.0,0.9668,46734.0
00252400,William Jewell College,Liberty,MO,64068-1896,https://www.jewell.edu/,4,21.0,0.47,49283.0
00252500,William Woods University,Fulton,MO,65251-2388,https://www.williamwoods.edu/,4,32.0,0.683,42236.0
02621300,Academy of Cosmetology Inc,Bozeman,MT,59715-3544,www.academycosmetology.com/,7,33.0,,
02510600,Blackfeet Community College,Browning,MT,59417-0819,bfcc.edu/,7,41.0,,12680.0
00790000,Butte Academy of Beauty Culture,Butte,MT,59701,butteacademyofbeauty.ipage.com/,7,33.0,,
00253101,Highlands College of Montana Tech,Butte,MT,59701,https://www.mtech.edu/,7,33.0,,15702.0
04187700,Crevier's Academy of Cosmetology Arts,Kalispell,MT,59901,www.crevierschool.com/,7,33.0,,
00252600,Carroll College,Helena,MT,59625-0002,www.carroll.edu/,7,33.0,0.8392,51646.0
00252900,Dawson Community College,Glendive,MT,59330,www.dawson.edu/,7,33.0,,15059.0
02545200,Chief Dull Knife College,Lame Deer,MT,59043,cdkc.edu/,7,43.0,,
00253000,Montana State University Billings,Billings,MT,59101-0298,www.msubillings.edu/,7,12.0,,17260.0
00677700,Flathead Valley Community College,Kalispell,MT,59901,www.fvcc.edu/,7,41.0,,14260.0
02517500,Aaniiih Nakoda College,Harlem,MT,59526,www.ancollege.edu/,7,43.0,,13021.0
02343000,Fort Peck Community College,Poplar,MT,59255-0398,www.fpcc.edu/,7,33.0,,10713.0
00931400,Great Falls College Montana State University,Great Falls,MT,59405,https://www.gfcmsu.edu/,7,13.0,,13023.0
00252700,University of Providence,Great Falls,MT,59405-4996,www.uprovidence.edu/,7,13.0,1.0,41324.0
00757000,Helena College University of Montana,Helena,MT,59601,www.helenacollege.edu/,7,33.0,,17605.0
02286600,Little Big Horn College,Crow Agency,MT,59022,www.lbhc.edu/,7,43.0,,11635.0
00252800,Miles Community College,Miles City,MT,59301-4774,www.milescc.edu/,7,33.0,,13062.0
00253100,Montana Technological University,Butte,MT,59701-8997,https://www.mtech.edu/,7,33.0,0.8984,21266.0
00253200,Montana State University,Bozeman,MT,59717,https://www.montana.edu/,7,33.0,0.73,22358.0
00253600,The University of Montana,Missoula,MT,59812,www.umt.edu/,7,13.0,0.8214,20680.0
00253300,Montana State University-Northern,Havre,MT,59501,www.msun.edu/,7,33.0,,15637.0
00253400,Rocky Mountain College,Billings,MT,59102-1796,https://www.rocky.edu/,7,12.0,0.8066,42238.0
02143400,Salish Kootenai College,Pablo,MT,59855,www.skc.edu/,7,42.0,,11497.0
00253700,The University of Montana-Western,Dillon,MT,59725-3598,umwestern.edu/,7,33.0,0.3333,18488.0
04249900,Yellowstone Christian College,Billings,MT,59106-3303,yellowstonechristian.edu/,7,41.0,0.6852,18310.0
00974300,Bellevue University,Bellevue,NE,68005-3098,www.bellevue.edu/,4,21.0,,20930.0
00986200,Clarkson College,Omaha,NE,68131-2739,www.clarksoncollege.edu/,4,11.0,0.96,24537.0
00639900,Bryan College of Health Sciences,Lincoln,NE,68506,https://www.bryanhealthcollege.edu/bcohs/,4,11.0,0.9091,30943.0
02099500,Central Community College,Grand Island,NE,68802-4903,https://www.cccneb.edu/,4,13.0,,12804.0
00253900,Chadron State College,Chadron,NE,69337-2690,www.csc.edu/,4,33.0,,22078.0
02079700,College of Hair Design-Downtown,Lincoln,NE,68508-2199,collegeofhairdesign.com/,4,11.0,,
00254100,Concordia University-Nebraska,Seward,NE,68434-1556,www.cune.edu/,4,32.0,0.8475,47238.0
00254200,Creighton University,Omaha,NE,68178,https://www.creighton.edu/,4,11.0,0.7775,58328.0
00254400,Doane University,Crete,NE,68333,www.doane.edu/,4,32.0,0.772,52170.0
00254800,Hastings College,Hastings,NE,68901,www.hastings.edu/,4,32.0,0.7089,46351.0
00849200,CHI Health School of Radiologic Technology,Omaha,NE,68122,www.chihealth.com/school-of-radiologic-technology,4,11.0,,
01151900,Joseph's College Cosmetology,Lincoln,NE,68505,josephscollege.edu/,4,11.0,,
00255100,University of Nebraska at Kearney,Kearney,NE,68849-1212,www.unk.edu/,4,32.0,0.9032,23361.0
00640400,Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,68114-2852,www.methodistcollege.edu/,4,11.0,0.8381,30213.0
01258600,Metropolitan Community College Area,Omaha,NE,68111-1610,https://www.mccneb.edu/,4,11.0,,9378.0
00255700,Mid-Plains Community College,North Platte,NE,69101,www.mpcc.edu/,4,33.0,,12609.0
00255300,Midland University,Fremont,NE,68025,https://www.midlandu.edu/,4,32.0,0.6375,47552.0
00255400,University of Nebraska at Omaha,Omaha,NE,68182-0225,https://www.unomaha.edu/,4,11.0,0.8725,19834.0
